"","Project","Site","Collection_no","Phytotron_ID..Ap_GXL.","Species..varying.ID.sources...Bernice.if.different.from.original.ID.","Locale","State","Extractor","DNA.extracted","RAD_lane","Barcode_well","Qubit.quantification..ng.ul.","Total.amt..ng.","Box","order"
"144","ANBE","CJ","8","","fulva","Cabin John Park, Montgomery Co.","MD","","","ddRAD6","D2",NA,NA,"Frozen",13
"145","ANBE","CJ","9","","rudis","Cabin John Park, Montgomery Co.","MD","Skye L","11/21/14","ddRAD5","B1",22.8,798,"2",6
"151","Phyt","DSF","4","15-A","picea","Greentown","PA","","","ddRAD3","A1",NA,NA,"Frozen",59
"153","Phyt","DSF","8","15-C","picea","Delaware State Park","PA","SHC","7/7/14","ddRAD1","A11",NA,NA,"",NA
"156","Phyt","DSF","11","15-B","picea","Delaware State Park","PA","SHC","7/7/14","ddRAD1","A10",NA,NA,"",NA
"157","Phyt","DSF","12","15-D","picea","Delaware State Park","NY","","","ddRAD3","C6",NA,NA,"EtOH",12
"158","ANBE","Duke","1","","rudis","Duke Forest","NC","SHC","10/2/14","ddRAD4","D8",12.5,437.5,"1",62
"159","ANBE","Duke","2","","rudis","Duke Forest","NC","Skye L","10/9/14","ddRAD4","C9",9.93,347.55,"1",69
"160","ANBE","Duke","3","","rudis","Duke Forest","NC","","","ddRAD7","B1",NA,NA,"Frozen",16
"161","ANBE","Duke","4","","rudis","Duke Forest","NC","","","ddRAD7","A6",NA,NA,"Frozen",14
"162","ANBE","Duke","5","","rudis","Duke Forest","NC","","","ddRAD6","B2",NA,NA,"Frozen",22
"167","Phyt","DW","2","06-A","rudis","Deans Woods","TN","","","ddRAD3","A8",NA,NA,"Frozen",34
"168","Phyt","DW ","1","06-B","rudis","Deans Woods","TN","","","ddRAD3","A9",NA,NA,"Frozen",35
"169","Phyt","EW","4","24-B","picea","East Woods","VT","SHC","8/7/14","ddRAD2","D11",NA,NA,"",NA
"170","Phyt","EW","9","24-A","picea","East Woods","VT","","","ddRAD3","C5",NA,NA,"EtOH",11
"173","ANBE","Fbragg","2","","ashmeadi","Fort Bragg","NC","SHC","10/2/14","ddRAD5","A8",23,805,"1",63
"187","Phyt","GSMNP","4","05-B","picea","Great Smoky Mountains National Park","TN","","","ddRAD3","A7",NA,NA,"Frozen",33
