"","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"cor.tminmax",0.915434835043428,5.08607776173544,0.00381477252114931,5,0.522743027702511,0.987638816736084,"Pearson's product-moment correlation","two.sided"
"cor.ppttmax",0.287269282153946,0.670620383985222,0.532187630087272,5,-0.59436893348811,0.855299956381726,"Pearson's product-moment correlation","two.sided"
"cor.ppttmin",0.617460341968872,1.75525014693876,0.139574918566125,5,-0.253445962678497,0.935518000541829,"Pearson's product-moment correlation","two.sided"
