"","mantelr","pval1","pval2","pval3","llim.2.5%","ulim.97.5%"
"geog",0.0884595925560861,0.3908,0.6093,0.9162,-0.454006076536404,0.852137174618241
"clim",-0.144295507168684,0.6528,0.3479,0.5845,-0.332274651896226,0.024428745218888
"temp",-0.267386029967333,0.8537,0.147,0.31,-0.414353355206691,0.00846247822808223
"ppt",0.227483950682458,0.0775,0.9236,0.1112,-0.0681285946031216,0.530733048074038
